id,jp,model,alts
1,エミリーはにっこり笑った．,Emily smiled.,laughは声に出して笑う
2,私たちの学校は8時半に始まります．,Our school day begins at eight thirty.,Our school starts at eight thirty.|Our school day starts at eight thirty.|Our school day begins at 8:30.|Our school starts at 8:30.|Our school day starts at 8:30.
3,私たちは高校生です．,We are high school students.,
4,姉は教師になりました．,My sister became a teacher.,
5,あなたのお父さんは年齢のわりに若く見える．,Your father looks young for his age.,
6,アンディは1日中黙ったままだった．,Andy remained silent all day.,Andy stayed silent all day.|keepは意識的に続ける。
7,今日は気分がいい［気分よく感じる］．,I feel great today.,I feel good today.|feel wellは体調
8,私はこのトランペットを父からもらいました．,I got this trumpet from my father.,
9,友人たちはときどき私にアドバイスをくれる．,My friends sometimes give me advice.,My friends sometimes give advice to me.
10,ケイトはお父さんにネクタイを買ってあげた．,Kate bought her father a tie.,Kate bought a tie for her father.
11,私は医師に少し質問をした．,I asked the doctor some questions.,I asked the doctor a few questions.|I asked my doctor some questions.|I asked my doctor a few questions.|myだとかかりつけ医
12,そのプレゼントは彼女を幸せにした / 喜ばせた〔→そのプレゼントをもらって彼女は喜んだ〕．,The present made her happy.,
13,君は机をいつもきれいにしておかなければなりません．,You must keep your desk clean.,You must always keep your desk clean.|have toは外部のルール
14,友人たちは私をメグと呼びます．,My friends call me Meg.,
15,私はこの本がとてもおもしろいとわかった〔→この本を読んだらとてもおもしろかった〕．,I found this book very interesting.,
16,私の家の近くにスイミング・プールがあります．,There is a swimming pool near my house.,
17,私はその本を容易に見つけた．,I found the book easily.,
18,私はその本が易しいとわかった〔→読んでみたらその本は易しかった〕．,I found the book easy.,
19,私は彼女によいガイドブックを見つけてあげた．,I found her a good guidebook.,I found a good guidebook for her.
20,私たちはその問題について1時間話し合った．,We discussed the problem for an hour.,We talked about the problem for an hour.|discussは他動詞
21,バスは福岡へ向けて東京を出発した．,The bus left Tokyo for Fukuoka.,The bus started from Tokyo for Fukuoka.|leave A for Bの方が自然
22,私は先生にその問題を説明した．,I explained the problem to the teacher.,explained the teacher the problem(SVOO)は不可
